분야 및 연도,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A 연료연소_3 수송_c 철도,973.86,990.8,1007.67,1086.68,1031.27,1042.23,1030.27,1026.07,1010.38,1051.41,1077.35,1088.04,1087.84,1112.27,951.2,897.87,818.18,733.59,722.61,636.94,618.13,562.32,564.3,498.05,416.77,379.63,332.11,321.25,319.74,303.78,267.85,238.25,199.83,182.56
A 연료연소_3 수송_d 국내해운,2480.75,1051.3,1156.12,4387.45,3735.87,3690.43,1993.47,2624.59,2240.01,2091.94,2794.52,2538.22,2948.37,3069.57,2924.32,2820.09,2723.65,2626.97,2664.41,2464.47,2304.94,2298.77,2179.54,1431.35,1026.03,1665.93,1429.36,1360.12,1037.86,1236.78,1010.17,1298.94,1395.41,1383.41
A 연료연소_3 수송_e 기타수송,464.07,332.85,350.78,245.92,342,301.66,407.62,408.19,484.51,268.33,299.64,775.46,361.63,380.41,337.77,344.87,348.54,370.83,365.32,399.63,392.96,425.21,414.65,437.53,487.91,651.96,812.98,812.4,504.68,410.32,136.58,92.77,69.65,74.15
A 연료연소_4 기타,72641.46,67240.69,68171.38,61153.4,69088.81,74978.48,79242.5,80862.64,62879.56,73011.16,70539.73,68595.26,68878.46,66509.31,62583.45,64642.36,60435.58,58722.12,57364.62,56009.44,58921.21,57476.96,55917.91,54835.53,48797.49,49753.55,51717.64,52976.74,53012.02,49906.35,48285.1,47998.54,48458.25,45502.68
A 연료연소_4 기타_a 상업/공공,26806.65,27593.5,32247.17,27715.59,39441.48,44589.14,47447.51,48877.29,35481.91,38300.36,30135.35,25549.21,25092.14,25002.31,23005.28,21123.76,18569.49,19841.55,18858.95,18226.04,18898.71,18668,18336.05,17892.81,16040.6,17860.64,18539.12,19059.39,18099.98,16304.82,13732.79,13643.76,13945.69,13988.28
A 연료연소_4 기타_b 가정,39882.66,33873.39,29477.44,25564.72,21342.35,21573.25,21934.34,21109.48,17655.3,24193.28,29358.14,30588.16,31541.37,30829.88,30034.57,34171.74,32838.89,30231.17,30948.17,30123.12,32161.03,31442.17,30292.94,29501.76,26984.16,26807.23,28711.17,29586.43,30804.31,29450.53,29935.95,30245.41,30745.9,27843.36
A 연료연소_4 기타_c 농업/임업/어업,5952.16,5773.8,6446.77,7873.09,8304.98,8816.1,9860.65,10875.87,9742.35,10517.52,11046.24,12457.89,12244.94,10677.12,9543.6,9346.86,9027.2,8649.4,7557.5,7660.28,7861.46,7366.79,7288.92,7440.96,5772.73,5085.68,4467.35,4330.92,4107.73,4151.01,4616.36,4109.37,3766.66,3671.04
A 연료연소_4 기타_c 농업/임업/어업_농업/임업,3319.15,3137.62,3547.14,4647.21,4445.95,4690.74,5658.9,6445.88,5711.85,6954.73,7235.34,8242.05,8071.87,6636.2,5773.9,5933,5620.41,5359.58,5000.73,4794.71,5056.4,4829.91,4807.46,4790.57,3331.28,2325.21,1532.55,1520.9,1529.28,1256.99,1568.58,1533.97,1425.15,1311.25
A 연료연소_4 기타_c 농업/임업/어업_3 어업,2633.01,2636.18,2899.63,3225.88,3859.03,4125.36,4201.75,4429.99,4030.5,3562.79,3810.9,4215.84,4173.07,4040.92,3769.7,3413.86,3406.79,3289.83,2556.77,2865.58,2805.06,2536.87,2481.46,2650.39,2441.45,2760.47,2934.81,2810.02,2578.46,2894.02,3047.78,2575.41,2341.51,2359.78
A 연료연소_5 미분류,183.39,4704.28,2972.12,3181.06,2867.69,2841.42,3100.73,2951.35,2680.62,2752.69,2426.53,3141.4,2859.3,3346.96,3173.71,3253.29,2872.08,2928.68,2620.81,2898.37,2969.89,2902.34,2950.74,3005.26,2884.52,3124.39,3099.12,3222.54,3148.07,2972.39,2937.84,2949.55,3046.24,3021.92
B 탈루,10994.14,10464.04,9515.95,8720.62,7782.03,6997.67,6568.4,6226.1,5976.44,5807.99,5708.06,5557.32,5213.07,5139.59,5033.07,4913.15,4818.47,4768.12,4692.05,4552.37,4408.81,4388.83,4399.62,4216.05,4071.19,3982.14,3943.88,3765.82,3687.98,3553.59,3458.04,3420.45,3401.79,3241.99
